INDEX,NAME,ADDRESS,POSTCODE,LAT,LONG,LAT ,LONG,BOROUGH,PUB,CLOSED,OWNERSHIP,NOTES,LINKS
544452,Junction,"The Junction Public House, 36 St Johns Hill, London",SW11 1SA,527234,175407,51.463344,-0.169842,Wandsworth,Yes,No,Greene King,,
544500,Kings Head Public House,"1 Roehampton High Street, London",SW15 4HL,522342,173831,51.450257,-0.240758,Wandsworth,Yes,No,Young & Co,,
544610,London Rowing Club,"Embankment, London",SW15 1LB,523681,176062,51.470012,-0.220725,Wandsworth,No,No,N/a,,
544611,London Snooker,"The Broadway Snooker Hall, 2A Lynwood Road, London",SW17 8SA,622675,-5527598,\N,\N,Wandsworth,No,No,n/a,,
544634,Made In Italy,"59 Northcote Road, London",SW11 1NP,527510,174935,51.45904,-0.166041,Wandsworth,No,No,n/a,,
544682,Masons Arms,"169 Battersea Park Road, London",SW8 4BT,528791,176942,51.476778,-0.146868,Wandsworth,Yes,No,Fullers,,
544685,Mayfair Tavern,"127-145 Upper Tooting Road, London",SW17 7TJ,527769,171969,51.432326,-0.163384,Wandsworth,Yes,No,Independent,,
544841,Nine Elms Tavern,"Unit D3, 3 Riverlight Quay, London",SW11 8AY,529427,177562,51.482214,-0.137488,Wandsworth,No,yes,n/a,Luxury flat,
544893,Old Fields,"20 Replingham Road, London",SW18 5LS,524830,173267,51.444646,-0.205184,Wandsworth,Yes,No,Greene King,,
544971,Paya & Horse,"181 Battersea Park Road, London",SW11 4LB,528654,176830,51.475812,-0.148894,Wandsworth,Yes,No,Independent,,
544979,Peachy Queen,"12 Putney High Street, London",SW15 1SL,524123,175602,51.465783,-0.214516,Wandsworth,No,Yes,n/a,Closed cocktail bar,
545006,Pig And Whistle,"479-481 Merton Road, London",SW18 5LD,525429,172884,51.441071,-0.196705,Wandsworth,Yes,No,Grumpy pub company,,
545043,Plough Public House,"89-91 St Johns Hill, London",SW11 1SY,526999,175193,51.461474,-0.173299,Wandsworth,Yes ,No,Adventure Bar Group,,
545093,Prince of Wales,"138 Upper Richmond Road, London",SW15 2SP,524271,174979,51.460146,-0.212624,Wandsworth,Yes,No,Mosaic pub and dining,,
545094,Project Orange,"43 St Johns Hill, London",SW11 1TT,527198,175341,51.46275,-0.170384,Wandsworth,No,No,n/a,Bar,
545105,Putney Club,"63 Upper Richmond Road, London",SW15 2RD,524570,174764,51.458148,-0.208397,Wandsworth,No,No,n/a,Salsa school,
545108,Putney Lawn Tennis Club,"Balmuir Gardens, London",SW15 6NG,523368,175176,51.462121,-0.225538,Wandsworth,No,yes,n/a,Lawn tennis,
545117,Putney Town Bowling Club,"Commondale, London",SW15 1HS,523219,175886,51.468533,-0.227433,Wandsworth,No,Yes,n/a,Unknown,
545122,Queen Adelaide,"35 Putney Bridge Road, London",SW18 1NP,525194,174974,51.459898,-0.199346,Wandsworth,Yes,No,Young & Co,,
545136,Ranelagh Sailing Club,"Embankment, London",SW15 1LB,523681,176062,51.470012,-0.220725,Wandsworth,No ,No,n/a,,
545159,The Woodpecker,"42-44 Battersea High Street, London",SW11 3HX,526917,176584,51.473993,-0.173966,Wandsworth,Yes,No,Pulse Venues,New pub,
545183,Roehampton Youth Club Supporters Association,"Club First Floor Front, 36 Holybourne Avenue, London",SW15 4JE,522325,173704,51.449119,-0.24106,Wandsworth,No,No,n/a,,
545195,Rose and Crown,"Rose And Crown, 140 Tooting Bec Road, London",SW17 8BH,528416,172039,51.432809,-0.154051,Wandsworth,Yes,No,Greene King,,
545206,Royal British Legion Club,"65 Upper Richmond Road, London",SW15 2RD,524554,174780,51.458304,-0.208622,Wandsworth,No,No,n/a,Charity,
545210,Royal Mahal Banqueting,"28 Upper Tooting Road, London",SW17 7PG,527911,172290,51.435179,-0.161227,Wandsworth,No,No,n/a,Wedding venue,
545249,Sambrook's Brewery Tap,"40 Ram Street, London",SW18 1UR,525668,174694,51.457295,-0.192626,Wandsworth,No,No,n/a,Craft brewery,
545358,South London Bowling Club,"19 Lyford Road, London",SW18 3LU,527053,173659,51.447684,-0.173072,Wandsworth,No,No,n/a,,
545365,Southfields Club & Institute,"62 Standen Road, London",SW18 5TG,525054,173539,51.447041,-0.201867,Wandsworth,No,No,n/a,,
545368,Southfields Lawn Tennis Club,"Gressenhall Road, London",SW18 1PQ,524662,174076,51.451961,-0.207308,Wandsworth,No,No,n/a,,
545382,Spotted Horse,"122 Putney High Street, London",SW15 1RG,523993,175254,51.46268,-0.216513,Wandsworth,Yes,No,Young & Co,,
545427,STREATHAM CONSERVATIVE CLUB,STREATHAM CONSERVATIVE CLUB,SW16 6DL,529431,170848,51.421866,-0.139898,Wandsworth,No,No,n/a,Conservative club,
545429,Streatham Park Bowling Club,"Pringle Gardens, London",SW16 1SH,529233,171639,51.429034,-0.142454,Wandsworth,No,No,n/A,,
545503,Tap 13 Tooting,"Unit E5 Broadway Market, 29 Tooting High Street, London",SW17 0RJ,527561,171521,51.42835,-0.166533,Wandsworth,Yes,Yes,n/a,,
545521,TBK Sports Bar and Grill,"4 St Johns Hill, London",SW11 1RU,527337,175463,51.463824,-0.168325,Wandsworth,No,Yes,n/a,,
545528,Tequila Mockingbird,"46 Battersea Rise, London",SW11 1EE,527566,175156,51.461017,-0.165146,Wandsworth,No ,Yes,n/a,,
545529,Tequila Mockingbird,"4-6 Putney High Street, London",SW15 1SL,524119,175617,51.465922,-0.214568,Wandsworth,No,Yes,n/a,,
545530,Tequila Mockingbird,"561 Garratt Lane, London",SW18 4SR,526129,172852,51.440627,-0.186647,Wandsworth,No,Yes,n/a,,
545553,Thames Rowing Club,"Embankment, London",SW15 1LB,523681,176062,51.470012,-0.220725,Wandsworth,No,Yes,n/a,,
545556,The Alma Tavern,"The Alma, 499 Old York Road, London",SW18 1TF,526002,175075,51.460627,-0.187686,Wandsworth,Yes,No,Young & Co,,
545559,The Anchor,"61 Holgate Avenue, London",SW11 2AT,526575,175604,51.465262,-0.179253,Wandsworth,Yes,No,Stonegate,,
545560,The Angel,"The Angel Public House, 11 Roehampton High Street, London",SW15 4HL,522394,173835,51.45029,-0.240008,Wandsworth,Yes,Yes,Unity Social,,
545562,The Antelope,"The Antelope Public House, 76 Mitcham Road, London",SW17 9NG,527606,171268,51.426062,-0.165985,Wandsworth,Yes ,No,Urban Pubs and Bars,,
545565,The Arab Boy,"289 Upper Richmond Road, London",SW15 6SP,523287,175248,51.462781,-0.226681,Wandsworth,Yes,No,Market Taverns,,
545569,The Bank,"31 Northcote Road, London",SW11 1NJ,527478,175014,51.459759,-0.166474,Wandsworth,Yes,Yes,Fullers,,
545571,The Bedford,"77 Bedford Hill, London",SW12 9HD,528723,173148,51.442707,-0.149235,Wandsworth,Yes ,No,Three Cheers Pub Company (Stonegate partnership),,
545575,The Boathouse,"32 Brewhouse Lane, London",SW15 2JX,524247,175540,51.465202,-0.212772,Wandsworth,No,Yes,Young & Co,,
545576,The Bolingbroke,"174 Northcote Road, London",SW11 6RE,527657,174362,51.453857,-0.164132,Wandsworth,Yes ,No,Three Cheers Pub Company (Stonegate partnership),,
