name,add,postcode,owner,lat,long,city,notes,website,history
The Devonshire,"39 Balham High Road, London",SW12 9AN,Young & Co,51.446875,-0.148884,Wandsworth,,,
The Earl Spencer,"260-262 Merton Road, London",SW18 5JL,Craft Union Pub Co (Stonegate0,51.448228,-0.199503,Wandsworth,,,
The East Hill,"21 Alma Road, London",SW18 1AA,Young & Co,51.458681,-0.185747,Wandsworth,,,
The Falcon PH,"The Falcon Public House, 2 St Johns Hill, London",SW11 1RU,Mitchell & Butlers,51.46383,-0.168086,Wandsworth,,,
The Flag,"101-103 Culvert Road, London",SW11 5AU,Independent,51.471093,-0.157624,Wandsworth,,,
The Four Thieves,"51 Lavender Gardens, London",SW11 1DJ,Laine pub company,51.464086,-0.162685,Wandsworth,,,
The Fox And Hounds Public House,"167 Upper Richmond Road, London",SW15 6SE,Dunnings,51.460897,-0.217676,Wandsworth,,,
The Furzedown,"118 Mitcham Lane, London",SW16 6NR,Independent,51.424391,-0.141992,Wandsworth,,,
The Gardeners Arms,"268 Merton Road, London",SW18 5JL,Punch Pubs & Co (Punch Taverns),51.448011,-0.199425,Wandsworth,,,
The Garratt Tavern,"89 Garratt Lane, London",SW18 4DW,Heineken,51.452935,-0.190998,Wandsworth,,,
The Goat Pub,"Public House, 66 Battersea Rise, London",SW11 1EQ,Castle (Mitchell & Butlers),51.46098,-0.166423,Wandsworth,,,
The Grove PH,"39 Oldridge Road, London",SW12 8PN,Young & Co,51.448401,-0.151048,Wandsworth,,,
The Half Moon Inn,"93 Lower Richmond Road, London",SW15 1EU,Young & Co,51.467292,-0.220105,Wandsworth,,,
The Hop Pole,"64 Putney Bridge Road, London",SW18 1HR,Independent,51.459278,-0.198233,Wandsworth,,,
The Hope,"1 Bellevue Road, London",SW17 7EG,Castle (Mitchell & Butlers),51.446055,-0.16551,Wandsworth,,,
The Jolly Gardeners,"Jolly Gardener, 61-63 Lacy Road, London",SW15 1NR,Castle (Mitchell & Butlers),51.464596,-0.218468,Wandsworth,,,
The Kings Head,"84 Upper Tooting Road, London",SW17 7PB,Greene King,51.433851,-0.163165,Wandsworth,,,
The Latchmere,"503 Battersea Park Road, London",SW11 3BW,Three Cheers Pub Company (Stonegate partnership),51.471999,-0.165507,Wandsworth,,,
The Leather Bottle,"538 Garratt Lane, London",SW17 0NY,Greene King,51.436869,-0.187173,Wandsworth,,,
The Lighthouse,"441 Battersea Park Road, London",SW11 4LR,City Pub Group,51.47264,-0.162598,Wandsworth,,,
The London and South Western,"276-288 Lavender Hill, London",SW11 1LJ,Wetherspoons,51.464097,-0.167585,Wandsworth,,,
The Magic Garden,"231 Battersea Park Road, London",SW11 4LG,Independent,51.475311,-0.150787,Wandsworth,,,
The Nightingale PH,"The Nightingale, 97 Nightingale Lane, London",SW12 8NX,Young & Co,51.450018,-0.157838,Wandsworth,,,
The Northcote,"2 Northcote Road, London",SW11 1NT,Young & Co,51.460693,-0.1672,Wandsworth,,,
The Old Sergeant,"104 Garratt Lane, London",SW18 4DJ,Grumpy pub company,51.451526,-0.190579,Wandsworth,,,
The Park Tavern,"212 Merton Road, London",SW18 5SW,Independent,51.450564,-0.199411,Wandsworth,,,
