id,name,address,postcode,a,b,lat,long,city,notes,website,History
144295,The Cricketers,"107 Addiscombe Road, Croydon",CR0 6SG,533465,165763,51.375252,-0.08382,Croydon,pub,https://camra.org.uk/pubs/cricketers-croydon-141501,
144296,The Croham Arms,"Croham Arms, Croham Road, South Croydon",CR2 7PB,532725,164307,51.362331,-0.094989,Croydon,pub,https://camra.org.uk/pubs/croham-arms-south-croydon-141580,
144297,The Cronx Tap,"71 High Street, Croydon",CR0 1QE,532349,165308,51.371415,-0.100005,Croydon,pub,,permanently closed
144298,The Crown Inn,"28 Wickham Road, Croydon",CR0 8BA,535543,165639,51.373637,-0.054034,Croydon,pub,https://www.emberinns.co.uk/nationalsearch/southeast/the-crown-shirley?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
144312,The Fox Public House,"Fox Lane, Caterham",CR3 5QS,531948,156902,51.295967,-0.108883,Croydon,pub,https://www.vintageinn.co.uk/restaurants/south-east/thefoxcoulsdoncommon?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
144313,The Foxley Hatch,"Russell Hill Parade, Russell Hill Road, Purley",CR8 2LE,531212,161703,51.339283,-0.117668,Croydon,pub,https://www.jdwetherspoon.com/pub-histories/the-foxley-hatch-purley/,spoons
144317,The George,"The George Public House, George Street, Croydon",CR0 1LA,532439,165614,51.374146,-0.098608,Croydon,pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-george-croydon?utm_source=google&utm_medium=maps&utm_campaign=gmb,spoons
144320,The Golden Lion,"144 Stanley Road, Croydon",CR0 3QB,531173,166980,51.386715,-0.116282,Croydon,pub,https://www.facebook.com/thegoldenlioncroydon,
144322,The Granaries,"Overton's Yard, Croydon",CR0 1SL,532215,165468,51.372894,-0.101878,Croydon,pub,,permanently closed
144330,The Hare And Hounds,"325 Purley Way, Croydon",CR0 4NU,531168,165294,51.371572,-0.116981,Croydon,pub,,permanently closed
144335,The Joiners Arms,"50-52 Woodside Green, South Norwood, London",SE25 5EU,534356,167077,51.386852,-0.07053,Croydon,pub,https://camra.org.uk/pubs/joiners-arms-south-norwood-141488,
144336,The Jolly Farmer,"Jolly Farmers, 7 Purley Road, Purley",CR8 2HA,531314,161570,51.338062,-0.116253,Croydon,pub,http://www.jollyfarmers-purley.co.uk/,
144337,The Jolly Sailor,"64 High Street, South Norwood, London",SE25 6EB,533997,168422,51.399014,-0.075179,Croydon,pub,http://www.thejollysailorsouthnorwood.co.uk/,
144339,The Kingsmen,"The Kingsmen Public House, Featherbed Lane, Croydon",CR0 9AS,622675,-5527598,,,Croydon,pub,https://www.kingsmen.pub/,
144356,The Moon Under Water,"1327 London Road, Norbury, London",SW16 4AU,530747,169237,51.407085,-0.121571,Croydon,pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-moon-under-water-norbury,spoons
144368,The Oval Tavern,"131 Oval Road, Croydon",CR0 6BR,533129,166075,51.378128,-0.088542,Croydon,pub,http://www.theovaltavern.co.uk/,
144371,The Pear Tree Purley,"908 Brighton Road, Purley",CR8 2LN,531349,161739,51.339565,-0.115689,Croydon,pub,https://www.craftunionpubs.com/pear-tree-purley?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
144372,"The Pembroke, 88th Street, Value Mighty, Sin City Burger","12-16 Chipstead Valley Road, Coulsdon",CR5 2RA,529762,159616,51.320858,-0.139232,Croydon,pub,https://www.greatlocalpubs.co.uk/pembroke-coulsdon?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
144377,The Portland Arms,"152 Portland Road, South Norwood, London",SE25 4PT,534547,167907,51.394246,-0.067478,Croydon,pub,https://portlandarmspub.co.uk/,
144379,The Prince George,"2-4 High Street, Thornton Heath",CR7 8LE,532752,168263,51.397868,-0.09313,Croydon,pub,https://camra.org.uk/pubs/prince-george-thornton-heath-141413,
144380,The Purley Arms,"345 Brighton Road, South Croydon",CR2 6ER,532487,163069,51.351261,-0.098866,Croydon,pub,http://www.purleyarms.co.uk/,
144383,The Randall Tavern,"Randalls, Wayside, Field Way, Croydon",CR0 9DX,537903,163717,51.355797,-0.02089,Croydon,pub,https://camra.org.uk/pubs/randall-tavern-croydon-141401,
