index,name,add,postcode,filler,owner,status,a,b ,lat,long,city,notes
289538,The Prince Of Wales,"117 Ewell Road, Surbiton",KT6 6AL,owner,Fulller Smith & Turner,open,518552,166998,51.389649,-0.297556,Kingston upon Thames,
289539,The Ram,"34 High Street, Kingston Upon Thames",KT1 1HL,owner,Greene King,open,517797,169041,51.408167,-0.307726,Kingston upon Thames,
289546,The Royal Oak,"261 Ewell Road, Surbiton",KT6 7AA,owner,Stonegate,open,518750,166513,51.385253,-0.294876,Kingston upon Thames,
289548,The Shy Horse,"423 Leatherhead Road, Chessington",KT9 2NQ,owner,Mitchells & Butlers,open,517138,161118,51.337102,-0.319818,Kingston upon Thames,
289550,The Star,"Kingston Road, Malden Rushett, Leatherhead",KT22 0DP,owner,Barons Pubs,open,622675,-5527598,52.68856624,-0.438898088,Kingston upon Thames,
289553,The Surbiton Flyer,"84 Victoria Road, Surbiton",KT6 4NS,owner,Fulller Smith & Turner,open,518034,167327,51.392714,-0.30489,Kingston upon Thames,
289560,The Victoria,"28 Victoria Road, Surbiton",KT6 4JT,owner,Young's,open,517881,167267,51.392206,-0.307122,Kingston upon Thames,
289561,The Watchman,"184 High Street, New Malden",KT3 4ES,owner,JD Wetherspoon,open,521483,168095,51.398889,-0.255093,Kingston upon Thames,
289563,The William Bourne - Also T/A Chik Box & K-Town Chicken,"The William Bourne, 273 Moor Lane, Chessington",KT9 2BQ,owner,Independent,open,622675,-5527598,51.36260305,-0.288992874,Kingston upon Thames,Freehold: Stonegate
289564,The Wych Elm Pub,"The Wych Elm, 93 Elm Road, Kingston Upon Thames",KT2 6HT,owner,Fulller Smith & Turner,open,518718,170057,51.417112,-0.294159,Kingston upon Thames,
289633,Waggon & Horses,"The Waggon And Horses, 1 Surbiton Hill Road, Surbiton",KT6 4TW,owner,Authentic,open,518248,168030,51.398989,-0.301587,Kingston upon Thames,Punch Pubs & Co
289652,Wheelwrights Arms,"The Wheelwrights Arms, 60 Clarence Street, Kingston Upon Thames",KT1 1NP,owner,Unknown,open,518216,169323,51.410619,-0.301619,Kingston upon Thames,Freehold: Heineken
289655,Willoughby Arms,"47 Willoughby Road, Kingston Upon Thames",KT2 6LN,owner,Tavern Property Co,open,518840,169963,51.416238,-0.292429,Kingston upon Thames,
289665,Woodies Freehouse,"Woodies, Thetford Road, New Malden",KT3 5DX,owner,Independent,open,520644,167332,51.392212,-0.267399,Kingston upon Thames,
289666,Woody's,"5 Ram Passage, Kingston Upon Thames",KT1 1HH,owner,Independent,closed,517753,169070,51.408438,-0.308364,Kingston upon Thames,
