index,name,add,postcode,filler,owner,status,a,b,lat ,long,city,notes
237691,Spanish Galleon,"Spanish Galleon 48 Greenwich Church Street, Greenwich",SE10 9BL,owner,Wellman Taverns,open,538294,177738,51.481698,-0.009817,Greenwich,
237731,Star INN,"Star Inn 158 Plumstead Common Road, Plumstead, Greenwich",SE18 2UL,owner,Independent,open,544430,177809,51.480812,0.078506,Greenwich,Freehold: Stonegate
237732,Star of Greenwich,"Star And Garter 60 Old Woolwich Road, Greenwich",SE10 9NY,owner,Independent,closed,538934,178034,51.484211,-0.00049,Greenwich,
237869,The Bankers Draft,"80 Eltham High Street, Eltham, Greenwich",SE9 1BW,owner,SJ Leisure London Ltd,closed,542703,174397,51.450582,0.052292,Greenwich,
237870,The Bat and Ball,"275 Court Road, Eltham, Greenwich",SE9 4TH,owner,Hideaway Taverns Ltd,open,542305,172799,51.436324,0.045921,Greenwich,
237871,The Beehive,"The Beehive 365 Footscray Road, Eltham, Greenwich",SE9 2DR,owner,Gladewood Taverns,open,544030,173167,51.439195,0.07087,Greenwich,
237874,The Birchwood P.H,"The Birchwood Grovebury Road, Abbey Wood, Greenwich",SE2 9BB,owner,Stonegate,open,546914,179769,51.497776,0.115078,Greenwich,
237878,The Bull Hotel,"The Bull 151 Shooters Hill, Plumstead, Greenwich",SE18 3HP,owner,Independent,open,543913,176456,51.468777,0.070529,Greenwich,
237887,The Castle Tavern Amma’s Fare,"Castle Tavern 179 Powis Street, Woolwich, Greenwich",SE18 6JL,owner,Independent,open,543220,179098,51.492702,0.06163,Greenwich,
237892,The Coach & Horses,"Coach And Horses 13 Greenwich Market, Greenwich",SE10 9HZ,owner,Young's,open,538355,177715,51.481477,-0.008949,Greenwich,
237905,The Cutty Sark,"The Cutty Sark 14 Joyce Dawson Way, Thamesmead, Greenwich",SE28 8RA,owner,Castlecrown Hotels Ltd,open,546326,180788,51.507076,0.107037,Greenwich,
237907,The Depot,"7 Pegler Square, Kidbrooke, Greenwich",SE3 9FW,owner,Young's,open,540951,175605,51.461883,0.027567,Greenwich,
237909,The Draughts P.H,"Draughts 34 Eltham High Street, Eltham, Greenwich",SE9 1BT,owner,Independent,open,542552,174436,51.450971,0.050145,Greenwich,
237910,The Duke,"The Duke 125 Creek Road, Deptford, Greenwich",SE8 3BU,owner,Stonegate,open,537560,177662,51.481199,-0.020412,Greenwich,
237911,The Vanbrugh,"The Vanbrugh Tavern 91 Colomb Street, Greenwich",SE10 9EZ,owner,ATS Hospitality Ltd,open,539519,177962,51.483411,0.007915,Greenwich,
237913,The Earl of Chatham,"Earl Of Chatham 15 Thomas Street, Woolwich, Greenwich",SE18 6HU,owner,Stonegate,open,543568,178842,51.490306,0.066531,Greenwich,
237926,The George IV,"George Iv 120 Rectory Place, Woolwich, Greenwich",SE18 5BY,owner,Stonegate,open,543154,178848,51.490475,0.060578,Greenwich,
237928,The Gipsy Moth,"The Gipsy Moth 60 Greenwich Church Street, Greenwich",SE10 9BL,owner,Mitchells & Butlers,open,538299,177805,51.482299,-0.009719,Greenwich,
237930,The Graduate,"The Graduate 107 - 109 Blackheath Road, Greenwich",SE10 8PD,owner,Independent,open,537932,176779,51.473169,-0.015402,Greenwich,
237933,The Green Goddess,"43A Vanbrugh Park, Blackheath, Greenwich",SE3 7AA,owner,Independent,open,540297,177284,51.477126,0.018842,Greenwich,
237934,The Greyhound,"The Greyhound 18 Kingsman Parade, Woolwich, Greenwich",SE18 5QE,owner,Admiral Taverns,open,542800,179075,51.492603,0.055571,Greenwich,
237937,The Guard House,"The Guardhouse No 1 Street, Woolwich, Greenwich",SE18 6GH,owner,Young's,open,543783,179101,51.49258,0.069735,Greenwich,
237953,The Long Pond,"110 Westmount Road, Eltham, Greenwich",SE9 1UT,owner,Independent,open,543193,175118,51.456938,0.059625,Greenwich,
237957,The Morden Arms,"Morden Arms 1 Brand Street, Greenwich",SE10 8SP,owner,Independent,open,622675,-5527598,51.47713345,-0.011658618,Greenwich,
237963,The Old Mill,"The Old Mill 1 Old Mill Road, Plumstead, Greenwich",SE18 1QG,owner,Independent,open,544815,177920,51.481711,0.084096,Greenwich,
237966,The Pelton Arms,"Pelton Arms 23 - 25 Pelton Road, Greenwich",SE10 9PQ,owner,Four Keen Inns Ltd,open,539136,178344,51.486929,0.002539,Greenwich,
237970,The Pilot Inn,"Pilot Inn 68 River Way, Greenwich",SE10 0BE,owner,Fuller Smith & Turner,open,539645,179390,51.496212,0.010295,Greenwich,
237972,The Plum Tree Beer Shop,"154 Plumstead Common Road, Plumstead, Greenwich",SE18 2UL,owner,Independent,closed,544440,177812,51.480829,0.078661,Greenwich,
237977,The Red Lion,"Red Lion 6 Red Lion Place, Plumstead, Greenwich",SE18 3RN,owner,Independent,open,543194,176648,51.470691,0.060251,Greenwich,
237979,The River Ale House,"131 Woolwich Road, Greenwich",SE10 0RJ,owner,Independent,open,539846,178291,51.486287,0.012737,Greenwich,
237980,The Rose Inn,"Rose Inn 2 Waverley Road, Plumstead, Greenwich",SE18 7TN,owner,Independent,open,544445,178396,51.486075,0.078972,Greenwich,
237981,The Royal Oak,"Royal Oak 54 Charlton Lane, Charlton, Greenwich",SE7 8LA,owner,Independent,open,541689,178571,51.488347,0.039375,Greenwich,
237982,The Sail Loft,"11 Victoria Parade, Greenwich",SE10 9FR,owner,Fuller Smith & Turner,open,537980,177873,51.482986,-0.014277,Greenwich,
237984,The Ship,"The Ship 205 Plumstead Common Road, Plumstead, Greenwich",SE18 2UJ,owner,The Ship Sports Bar Limited,open,544547,177845,51.481098,0.080214,Greenwich,
237999,The Volunteer,"130 - 132 Plumstead High Street, Plumstead, Greenwich",SE18 1JQ,owner,Stonegate,open,545351,178562,51.487344,0.09208,Greenwich,
238001,The Who'd A Thought It Public House,"The Whoda Thought It 7 Timbercroft Lane, Plumstead, Greenwich",SE18 2SB,owner,Goldenspark (Timber) Ltd,closed,622675,-5527598,51.47913607,0.087463729,Greenwich,
238004,The Yacht,"The Yacht Tavern 5 Crane Street, Greenwich",SE10 9NP,owner,Greene King,open,538697,178081,51.484695,-0.003879,Greenwich,
238039,Trafalgar Tavern,"Trafalgar Tavern Park Row, Greenwich",SE10 9NW,owner,The Trafalgar Tavern Pub Company,open,538722,178013,51.484065,-0.00355,Greenwich,
238143,White Hart Eltham,"White Hart 2 Eltham High Street, Eltham, Greenwich",SE9 1DA,owner,Stonegate,open,542504,174452,51.451126,0.049463,Greenwich,
238190,Ye Olde Rose & Crown,"Rose And Crown 1 Crooms Hill, Greenwich",SE10 8ER,owner,Greene King,open,622675,-5527598,51.47957507,-0.007794298,Greenwich,
