index,name,add,postcode,owner,status,a,b,lat,long,city,notes
311265,The Dog & Bell,"Dog And Bell, 116 Prince Street, London",SE8 3JD,Independent,open,537175,177887,51.483301,-0.025874,Lewisham,
311266,The Dolphin,"121 Sydenham Road, London",SE26 5HB,Inn Public Ltd,open,535837,171459,51.425868,-0.047583,Lewisham,
311268,The Downham Tavern,"Downham Tavern, Downham Way, Bromley",BR1 5HS,777 Leisure Ltd,closed,540049,171788,51.427801,0.013091,Lewisham,
311273,The Fellowship Inn,"Fellowship Inn, Randlesdown Road, Bellingham, London",SE6 3BT,Homegrown Pubs & Bars,open,537718,172271,51.432713,-0.020234,Lewisham,
311278,The Fox & Firkin,"Flat Fox And Firkin, 316 Lewisham High Street, Hither Green, London",SE13 6JZ,Whelans,open,538050,174980,51.456983,-0.014405,Lewisham,
311282,The Genaral Napier-W G Moore Tavwens,"The Genaral Napier, 73 Bovill Road, Crofton Park, London",SE23 1EX,Independent,open,535990,173645,51.445475,-0.04455,Lewisham,
311284,The Golden Lion PH Ltd,"116 Sydenham Road, London",SE26 5JX,Stonegate,open,535776,171424,51.425569,-0.048473,Lewisham,
311288,The Greyhound,"313-315 Kirkdale, London",SE26 4QB,Unknown,open,535285,171586,51.427141,-0.055474,Lewisham,
311298,The Honor Oak,"1 St Germans Road, London",SE23 1RH,Laine Pub Company,open,536206,173418,51.443384,-0.041526,Lewisham,
311310,The Ladywell Tavern,"Ladywell Tavern, 80 Ladywell Road, Ladywell, London",SE13 7HS,Punch Pubs & Co,open,537564,174892,51.456301,-0.021425,Lewisham,
311316,The London & Rye,"London & Rye, 109 Rushey Green, London",SE6 4AF,Independent,open,537830,173860,51.446963,-0.018006,Lewisham,
311318,The Lord Northbrook,"Flat At The Lord Northbrook, 116 Burnt Ash Road, London",SE12 8PU,Fuller Smith & Turner,open,539912,174356,51.45091,0.012145,Lewisham,
311325,The Old Tigers Head,"Ye Old Tigers Head, 351 Lee High Road, London",SE12 8RU,Independent,open,539684,175073,51.45741,0.009139,Lewisham,
311341,The Railway,"16 Blackheath Village, Blackheath, London",SE3 9LE,Mitchells & Butlers,open,539630,175959,51.465393,0.008707,Lewisham,
311346,The Rose Inn,"272 New Cross Road, London",SE14 5UL,Urban Pubs & Bars,open,536046,176896,51.474676,-0.042489,Lewisham,
311348,The Royal George,"85 Tanners Hill, London",SE8 4QD,Samuel Smith,open,536994,176590,51.471699,-0.028967,Lewisham,
311351,The Summerfield Pub,"60 Baring Road, London",SE12 0PS,Independent,open,540115,173504,51.443195,0.014717,Lewisham,
311357,The Talbot,"2 Tyrwhitt Road, London",SE4 1QG,Little & Large Pub Company,open,537368,176105,51.467249,-0.023779,Lewisham,
311364,The Victoria,"177 Grove Street, London",SE8 3QQ,Lendlease,closed,536564,178382,51.487897,-0.034467,Lewisham,
311369,The Watch House,"198-204 Lewisham High Street, Hither Green, London",SE13 6JP,JD Wetherspoons,open,538201,175303,51.45984,-0.012103,Lewisham,
