id,name,address,postcode,a,b,lat,long,city,notes,website,history
246547,Famous Three Kings,"Three Kings, 171 North End Road, London",W14 9NL,524634,178313,51.490038,-0.206219,Hammersmith and Fulham,,https://famousthreekings.co.uk/,
246596,Fulham Arms,"The Sands End, 135 - 137 Stephendale Road, London",SW6 2PR,526003,176244,51.471141,-0.187255,Hammersmith and Fulham,,https://butcombe.com/the-fulham-arms-london/,
246655,Goose,"The Goose, 248 North End Road, London",SW6 1NL,524893,177781,51.4852,-0.202692,Hammersmith and Fulham,,https://www.goose-fulham.com/,
246689,Hammersmith Club,"Hammersmith Club Society, 11 Rutland Grove, London",W6 9DH,522992,178303,51.490308,-0.229861,Hammersmith and Fulham,Social club,,
246696,Hand And Flower,"1 Hammersmith Road, London",W14 8XJ,524466,178956,51.495845,-0.208411,Hammersmith and Fulham,Hotel,,
246707,Harwood Arms,"Walham Grove, London",SW6 1QP,525236,177484,51.482446,-0.197847,Hammersmith and Fulham,,http://www.harwoodarms.com/,
246840,Kings Arms,"Larrik, 425 New King's Road, London",SW6 4RN,524433,175994,51.469242,-0.209943,Hammersmith and Fulham,,http://www.thelarrik.com/,
246848,Kona Kai,"515 Fulham Road, London",SW6 1HD,525590,177236,51.480139,-0.19284,Hammersmith and Fulham,Cocktail bar,,
246877,Latymers,"157 Hammersmith Road, London",W6 8BS,523845,178628,51.493042,-0.217467,Hammersmith and Fulham,,https://www.latymershammersmith.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P049&y_source=1_MTIyMzcxNjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
246901,Little Blue Door,"Fulham Wine Rooms, 871 - 873 Fulham Road, London",SW6 5HP,524629,176530,51.474014,-0.206934,Hammersmith and Fulham,Cocktail bar,,
246904,Little Moons,"Unit K1208, Westfield London Shopping Centre, Ariel Way, London",W12 7HT,523504,180518,51.510101,-0.221717,Hammersmith and Fulham,Icecream stall?,,
246929,London Corinthian Club,"Linden House, 60 Upper Mall, London",W6 9TA,522525,178327,51.490616,-0.236576,Hammersmith and Fulham,Sports club,,
247244,Plough And Harrow,"122 King Street, London",W6 0QU,522779,178579,51.492834,-0.232831,Hammersmith and Fulham,Spoons,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-plough--harrow-hammersmith?utm_source=google&utm_medium=maps&utm_campaign=gmb,Permanently closed
247284,Prince Of Wales,"The Rooks Nest, 73 Dalling Road, London",W6 0JD,522635,178712,51.494061,-0.234846,Hammersmith and Fulham,,http://www.princeofwales-townhouse.co.uk/,
247285,Princess Victoria,"217 Uxbridge Road, London",W12 9DH,522227,180067,51.506327,-0.240263,Hammersmith and Fulham,,https://princessvictoria.co.uk/,
247294,Queen Adelaide,"412 Uxbridge Road, London",W12 0NR,522394,180102,51.506614,-0.237846,Hammersmith and Fulham,"Pub, Greene King",https://en.wikipedia.org/wiki/The_Queen_Adelaide,Permanently closed
247295,Queen Elizabeth Hostel,"Queen Elizabeth, 58 Bagley's Lane, London",SW6 2BH,525890,176622,51.474556,-0.18874,Hammersmith and Fulham,Hostel,,
247296,Queens Tavern,"51 South Africa Road, London",W12 7PA,523152,180732,51.512102,-0.226724,Hammersmith and Fulham,Hotel,Possibly closed,
247371,Sainsbury's Supermarkets Ltd,"18 - 19 The Broadway, The Concord Shopping Centre, Shepherd's Bush Green, London",W12 8PP,622675,-5527598,,,Hammersmith and Fulham,Supermarket,,
247416,Shepherds Bush Club,"205 Goldhawk Road, London",W12 8EP,522652,179416,51.500375,-0.234369,Hammersmith and Fulham,Social club,,
247417,Shepherds Bush Empire,"Shepherd's Bush Green, London",W12 8TT,523333,179783,51.503525,-0.224435,Hammersmith and Fulham,Live music venue,,
247435,Simmons Bar,"374 North End Road, London",SW6 1LY,525128,177350,51.481265,-0.199448,Hammersmith and Fulham,Bar,https://www.simmonsbar.co.uk/venues/fulham/,Closed
247445,Sixes Cricket Club,"Wahleeah Public House, 18 Farm Lane, London",SW6 1PP,525324,177420,51.481861,-0.196609,Hammersmith and Fulham,,https://camra.org.uk/pubs/sixes-cricket-club-fulham-129037,Closed
247532,Sulgrave Club,"287 Goldhawk Road, London",W12 8EU,522195,179260,51.499081,-0.241004,Hammersmith and Fulham,Youth club,,
247587,Teds Place,"305A North End Road, London",W14 9NS,524904,177849,51.485809,-0.202503,Hammersmith and Fulham,Gay bar,,
247616,The Albion,"121 Hammersmith Road, London",W14 0QL,524097,178741,51.494003,-0.213799,Hammersmith and Fulham,,http://www.thealbionpub.com/,
247621,The Askew,"269 Uxbridge Road, London",W12 9DS,521968,180088,51.506571,-0.243986,Hammersmith and Fulham,,https://www.askewshepherdsbush.co.uk/,
247623,The Atlas,"16 Seagrave Road, London",SW6 1RX,525355,177871,51.485898,-0.195997,Hammersmith and Fulham,,http://www.theatlaspub.co.uk/documents/2016/06/food-menu.pdf/,
247625,The Bedford Arms,"204 Dawes Road, London",SW6 7RQ,524439,177333,51.481265,-0.209372,Hammersmith and Fulham,,https://www.craftunionpubs.com/bedford-arms-fulham?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
247626,The Black Lion PH,"The Black Lion, 2 South Black Lion Lane, London",W6 9TJ,522125,178293,51.490396,-0.242346,Hammersmith and Fulham,,http://www.blacklion.london/,
247627,The Broadcaster,"Pavilion Building, 89 Wood Lane, London",W12 7FX,523294,180497,51.509961,-0.224754,Hammersmith and Fulham,,http://www.thebroadcaster.co.uk/,
247629,The Bull,"Unit 1033, Westfield London Shopping Centre, Ariel Way, London",W12 7GA,523406,180194,51.507212,-0.223254,Hammersmith and Fulham,,https://www.thebullwestfield.com/,
247632,The Captain Cook,"The Wilton Arms, 203 - 205 Dawes Road, London",SW6 7QY,524425,177313,51.481088,-0.20958,Hammersmith and Fulham,,http://www.thecaptaincook.com/,
247633,The Chancellors,"25 Crisp Road, London",W6 9RL,523186,178128,51.488692,-0.227115,Hammersmith and Fulham,,https://camra.org.uk/pubs/chancellors-hammersmith-129309,
247636,The Clarence,"148 North End Road, London",W14 9PP,524706,178156,51.488612,-0.205252,Hammersmith and Fulham,,https://camra.org.uk/pubs/clarence-west-kensington-129136,
247639,The Colonels Arms,"80 Fulham Palace Road, London",W6 9PL,523478,178089,51.488278,-0.222939,Hammersmith and Fulham,,https://www.hot-dinners.com/2022111011899/Gastroblog/Latest-news/kfc-pub-pop-up-london-hammersmith-kentucky-fried-chicken,Permanently closed
247640,The Crabtree,"Crabtree Public House, Rainville Road, London",W6 9HJ,523421,177532,51.483276,-0.223954,Hammersmith and Fulham,,https://www.thecrabtreew6.co.uk/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,
247641,The Craft Beer Co,"Unit 17-18, Broadway Shopping Centre, Hammersmith Broadway, London",W6 9YD,523354,178527,51.492242,-0.224571,Hammersmith and Fulham,,http://www.thecraftbeerco.com/hammersmith,
247642,The Curtains Up,"28A Comeragh Road, London",W14 9HR,524320,178206,51.489137,-0.210777,Hammersmith and Fulham,,https://www.thecurtainsup.co.uk/,
247643,The Dartmouth Castle,"Dartmouth Castle, 26 Glenthorne Road, London",W6 0LS,523066,178785,51.494623,-0.228628,Hammersmith and Fulham,,http://www.thedartmouthcastle.co.uk/,
247644,The Dove,"19 Upper Mall, London",W6 9TA,522525,178327,51.490616,-0.236576,Hammersmith and Fulham,,https://www.dovehammersmith.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P028&y_source=1_MTIyMzcwNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
247645,The Duchess W6,"The Duchess Of Cambridge, 320 Goldhawk Road, London",W6 0XF,521986,179195,51.498543,-0.244043,Hammersmith and Fulham,,http://www.theduchesshammersmith.co.uk/,
247646,The Duke Of Hammersmith,"Draft House, 238 Shepherd's Bush Road, London",W6 7NL,523366,178904,51.495627,-0.224266,Hammersmith and Fulham,Brewdog,https://drink.brewdog.com/uk/duke-of-hammersmith/,Permanently closed
247647,The Durell,"704 Fulham Road, London",SW6 5SB,524558,176508,51.473833,-0.207963,Hammersmith and Fulham,,https://www.durellarmsfulham.com/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,
247648,The Eagle,"215 Askew Road, London",W12 9AZ,522288,179461,51.500867,-0.239595,Hammersmith and Fulham,,https://www.theeaglew12.co.uk/,
247650,The Escape,"O'Donaghue's, 174 Goldhawk Road, London",W12 8HJ,522762,179533,51.501412,-0.232744,Hammersmith and Fulham,,https://www.odonoghues.co.uk/,
247657,The Fulham Mitre,"The Mitre, 81 Dawes Road, London",SW6 7DU,524837,177227,51.480225,-0.20368,Hammersmith and Fulham,,http://www.themitresw6.com/,
247660,The Golden Lion,"Golden Lion, 57 Fulham High Street, London",SW6 3JJ,524429,176071,51.469925,-0.209974,Hammersmith and Fulham,,https://www.thegoldenlionfulham.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
247665,The Green Public House,"172 - 174 Uxbridge Road, London",W12 7JP,523252,179998,51.505475,-0.225527,Hammersmith and Fulham,,https://www.crafted-social.co.uk/green-shepherds-bush?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
247668,The Grove Bar And Restaurant,"The Grove, 83 Hammersmith Grove, London",W6 0NQ,523136,179089,51.497341,-0.227507,Hammersmith and Fulham,,http://www.thegrovetavern.uk/,
247669,The Hammersmith Ram,"81 King Street, London",W6 9HW,523135,178548,51.492478,-0.227717,Hammersmith and Fulham,,https://www.thehammersmithram.co.uk/,
247670,The Havelock Tavern,"The Havelock, 57 Masbro' Road, London",W14 0LS,523932,179354,51.499548,-0.21596,Hammersmith and Fulham,,https://www.havelocktavern.com/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,
247671,The Hawks Nest-Sugo,"190 Railway Arches, Shepherd's Bush Market, London",W12 8DF,523169,179754,51.50331,-0.226821,Hammersmith and Fulham,,https://the-hawks-nest.co.uk/,
247675,The Hop Poles,"Hop Poles, 17 - 19 King Street, London",W6 9HR,523278,178582,51.492753,-0.225646,Hammersmith and Fulham,,http://www.socialpubandkitchen.co.uk/hop-poles-hammersmith?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
247677,The Hurlingham Club,"Hurlingham Club, Ranelagh Gardens, London",SW6 3PR,525091,175680,51.466265,-0.200572,Hammersmith and Fulham,Club,,
247680,The Keep Of Brook Green,"The Jameson, 43 Blythe Road, London",W14 0HR,523922,179084,51.497115,-0.216206,Hammersmith and Fulham,,http://biddymulligansolympia.com/,
247682,The Lillie Langtry,"19 Lillie Road, London",SW6 1UE,525253,177911,51.486289,-0.19745,Hammersmith and Fulham,,https://www.thechaptercollection.co.uk/lillie-langtry-fulham?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
247687,The Oak W12,"The Oak, 243 Goldhawk Road, London",W12 8EU,522195,179260,51.499081,-0.241004,Hammersmith and Fulham,pub/Mediterranean restaurant,http://www.theoakw12.com/,
247689,The Old City Arms,"107 Hammersmith Bridge Road, London",W6 9DA,523057,178198,51.48935,-0.228962,Hammersmith and Fulham,,https://www.craftunionpubs.com/old-city-arms-hammersmith?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
247690,The Old Oak,"180 North End Road, London",W14 9NX,524827,177959,51.486814,-0.203566,Hammersmith and Fulham,,https://camra.org.uk/pubs/old-oak-west-kensington-129135,Closed
247691,The Old Ship,"Old Ship, 25 Upper Mall, London",W6 9TD,522286,178294,51.49038,-0.240028,Hammersmith and Fulham,,https://www.oldshiphammersmith.co.uk/,
247692,The Orchard Tavern,"Orchard Tavern, 136 Askew Road, London",W12 9BP,522095,179567,51.501861,-0.242337,Hammersmith and Fulham,,https://www.orchardaskewroad.com/,
247710,The Parsons Green Sports & Social Club,"Parsons Green Sports And Social Club, 31 Broomhouse Lane, London",SW6 3DP,525302,175776,51.46709,-0.197499,Hammersmith and Fulham,Sports club,,
247711,The Pavilion,"Wood Lane, London",W12 0HQ,523066,181450,51.518583,-0.227712,Hammersmith and Fulham,,https://www.greeneking.co.uk/pubs/greater-london/pavilion/menu?utm_source=g_places&utm_medium=locations&utm_campaign=PS_menu,
247713,The Pocket Watch,"434 Uxbridge Road, London",W12 0NS,522305,180105,51.506651,-0.239127,Hammersmith and Fulham,,http://www.thehawthornpub.com/,
247715,The Prince,"14 Lillie Road, London",SW6 1TU,525284,178008,51.487145,-0.196984,Hammersmith and Fulham,,http://www.theprincelondon.com/,
247719,The Queens Head,"Queens Head, 13 Brook Green, London",W6 7BL,523791,178879,51.49531,-0.218156,Hammersmith and Fulham,,https://www.queensheadhammersmith.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P144&y_source=1_MTIyMzcxNjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
247720,The Raven,"375 Goldhawk Road, London",W6 0SA,521948,178704,51.494137,-0.244752,Hammersmith and Fulham,,http://www.theravenw6.com/,
247722,The Redback,"The Slug, 490 - 492 Fulham Road, London",SW6 5NH,525180,177238,51.480247,-0.198739,Hammersmith and Fulham,,https://camra.org.uk/pubs/redback-fulham-129058,Closed
247723,The Richmond Arms,"The Richmond, 55 Shepherd's Bush Road, London",W6 7LU,523529,179487,51.500831,-0.221716,Hammersmith and Fulham,,https://southeast.camra.org.uk/viewnode.php?id=260910,
247726,The Rose,"1 Harwood Terrace, London",SW6 2AF,525807,176859,51.476712,-0.189864,Hammersmith and Fulham,,http://www.therosefulham.com/,
247727,The Rutland,"15 Lower Mall, London",W6 9DJ,522884,178250,51.489853,-0.231434,Hammersmith and Fulham,,https://www.greeneking.co.uk/pubs/greater-london/rutland-arms/menu?utm_source=g_places&utm_medium=locations&utm_campaign=HT_menu,
247728,The Salutation,"154 King Street, London",W6 0QU,522779,178579,51.492834,-0.232831,Hammersmith and Fulham,,https://www.salutationhammersmith.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness_website,
247730,The Shepherd & Flock,"Shepherd And Flock, 84 Goldhawk Road, London",W12 8HA,523095,179645,51.502346,-0.22791,Hammersmith and Fulham,,https://myshepherdsbush.co.uk/business/the-shepherd-flock/,
247731,The Sindercombe Social,"Sindercombe Social, 2 Goldhawk Road, London",W12 8QD,523361,179761,51.50333,-0.224054,Hammersmith and Fulham,,https://www.thesindercombesocial.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
247732,The Stonemasons Arms,"Stonemasons Arms, 54 Cambridge Grove, London",W6 0LA,522967,178663,51.493548,-0.230095,Hammersmith and Fulham,,https://stonemasonsarms.co.uk/booking/,
247734,The Swan,"46 Hammersmith Broadway, London",W6 0DZ,523315,178625,51.493131,-0.225098,Hammersmith and Fulham,,https://www.nicholsonspubs.co.uk/restaurants/london/theswanhammersmithlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
247736,The Temperance,"90 Fulham High Street, London",SW6 3LF,524400,176019,51.469473,-0.210395,Hammersmith and Fulham,,http://www.socialpubandkitchen.co.uk/temperance-fulham?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
247737,The Thatched House,"Thatched House, 115 Dalling Road, London",W6 0ET,522621,179128,51.497802,-0.234915,Hammersmith and Fulham,,http://www.thatchedhousepub.com/,
247743,The White Horse,"White Horse, 31 Uxbridge Road, London",W12 8LH,523108,180005,51.505578,-0.227611,Hammersmith and Fulham,,https://www.craftunionpubs.com/white-horse-shepherds-bush?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
247744,The William Morris,"2 - 4 King Street, London",W6 0QA,523275,178620,51.493085,-0.225676,Hammersmith and Fulham,Spoons,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-william-morris-hammersmith,
247746,The Wine Rack,"52 Greyhound Road, London",W6 8NX,523794,177730,51.484983,-0.218516,Hammersmith and Fulham,Convenience store,,closed
247768,Tommy Tucker,"The Tommy Tucker, 22 Waterford Road, London",SW6 2DR,525635,177019,51.47818,-0.192269,Hammersmith and Fulham,,https://thetommytucker.co.uk/,
247795,Utter Waffle LTD,"The Prince, 14 Lillie Road, London",SW6 1TU,525275,178009,51.487156,-0.197106,Hammersmith and Fulham,,http://www.theprincelondon.com/,
247828,Waterside,"Unit 2, Riverside Tower, The Boulevard, London",SW6 2SU,526426,176490,51.473249,-0.181074,Hammersmith and Fulham,,https://www.watersideimperialwharf.co.uk/,
247843,White Horse,"1 - 3 Parsons Green, London",SW6 4UL,525170,176519,51.473788,-0.199153,Hammersmith and Fulham,,https://www.whitehorsesw6.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
247853,Wolfpack Fulham,"Jolly Maltster, 17 Vanston Place, London",SW6 1AY,525175,177383,51.481561,-0.19876,Hammersmith and Fulham,,https://wolfpackbars.com/,
